district,region,departement,sousPrefecture,village
District Autonome d'Abidjan,Abidjan,Abidjan,,
District Autonome de Yamoussoukro,Yamoussoukro,Yamoussoukro,,
District Autonome de Yamoussoukro,Yamoussoukro,Attiégouakro,,
Bas-Sassandra,Gbôklé,Sassandra,,
Bas-Sassandra,Gbôklé,Fresco,,
Bas-Sassandra,Nawa,Soubré,,
Bas-Sassandra,Nawa,Buyo,,
Bas-Sassandra,Nawa,Guéyo,,
Bas-Sassandra,Nawa,Méagui,,
Bas-Sassandra,San-Pédro,San-Pédro,,
Bas-Sassandra,San-Pédro,Tabou,,
Comoé,Indénié-Djuablin,Abengourou,,
Comoé,Indénié-Djuablin,Agnibilékrou,,
Comoé,Indénié-Djuablin,Béttié,,
Comoé,Sud-Comoé,Aboisso,,
Comoé,Sud-Comoé,Adiaké,,
Comoé,Sud-Comoé,Grand-Bassam,,
Comoé,Sud-Comoé,Tiapoum,,
Denguélé,Folon,Minignan,,
Denguélé,Folon,Kaniasso,,
Denguélé,Kabadougou,Odienné,,
Denguélé,Kabadougou,Madinani,,
Denguélé,Kabadougou,Samatiguila,,
Denguélé,Kabadougou,Séguélon,,
Denguélé,Kabadougou,Gbéléban,,
Gôh-Djiboua,Gôh,Gagnoa,,
Gôh-Djiboua,Gôh,Oumé,,
Gôh-Djiboua,Lôh-Djiboua,Divo,,
Gôh-Djiboua,Lôh-Djiboua,Lakota,,
Gôh-Djiboua,Lôh-Djiboua,Guitry,,
Lacs,Bélier,Toumodi,,
Lacs,Bélier,Didiévi,,
Lacs,Bélier,Tiébissou,,
Lacs,Bélier,Djékanou,,
Lacs,Iffou,Daoukro,,
Lacs,Iffou,M'Bahiakro,,
Lacs,Iffou,Prikro,,
Lacs,Moronou,Bongouanou,,
Lacs,Moronou,Arrah,,
Lacs,Moronou,M'Batto,,
Lacs,N'Zi,Dimbokro,,
Lacs,N'Zi,Bocanda,,
Lacs,N'Zi,Kouassi-Kouassikro,,
Lagunes,Agnéby-Tiassa,Agboville,,
Lagunes,Agnéby-Tiassa,Tiassalé,,
Lagunes,Agnéby-Tiassa,Sikensi,,
Lagunes,Agnéby-Tiassa,Taabo,,
Lagunes,Grands-Ponts,Dabou,,
Lagunes,Grands-Ponts,Jacqueville,,
Lagunes,Grands-Ponts,Grand-Lahou,,
Lagunes,La Mé,Adzopé,,
Lagunes,La Mé,Akoupé,,
Lagunes,La Mé,Alépé,,
Lagunes,La Mé,Yakassé-Attobrou,,
Montagnes,Cavally,Guiglo,,
Montagnes,Cavally,Bloléquin,,
Montagnes,Cavally,Toulepleu,,
Montagnes,Cavally,Taï,,
Montagnes,Guémon,Duékoué,,
Montagnes,Guémon,Bangolo,,
Montagnes,Guémon,Facobly,,
Montagnes,Guémon,Kouibly,,
Montagnes,Tonkpi,Man,,
Montagnes,Tonkpi,Biankouma,,
Montagnes,Tonkpi,Danané,,
Montagnes,Tonkpi,Zouan-Hounien,,
Montagnes,Tonkpi,Sipilou,,
Sassandra-Marahoué,Haut-Sassandra,Daloa,,
Sassandra-Marahoué,Haut-Sassandra,Issia,,
Sassandra-Marahoué,Haut-Sassandra,Vavoua,,
Sassandra-Marahoué,Haut-Sassandra,Zoukougbeu,,
Sassandra-Marahoué,Marahoué,Bouaflé,,
Sassandra-Marahoué,Marahoué,Sinfra,,
Sassandra-Marahoué,Marahoué,Zuénoula,,
Savanes,Bagoué,Boundiali,,
Savanes,Bagoué,Tengréla,,
Savanes,Bagoué,Kouto,,
Savanes,Poro,Korhogo,,
Savanes,Poro,Sinématiali,,
Savanes,Poro,Dikodougou,,
Savanes,Poro,M'Bengué,,
Savanes,Tchologo,Ferkessédougou,,
Savanes,Tchologo,Kong,,
Savanes,Tchologo,Ouangolodougou,,
Vallée du Bandama,Gbêkê,Bouaké,,
Vallée du Bandama,Gbêkê,Béoumi,,
Vallée du Bandama,Gbêkê,Sakassou,,
Vallée du Bandama,Gbêkê,Botro,,
Vallée du Bandama,Hambol,Katiola,,
Vallée du Bandama,Hambol,Dabakala,,
Vallée du Bandama,Hambol,Niakaramandougou,,
Woroba,Bafing,Touba,,
Woroba,Bafing,Koro,,
Woroba,Bafing,Ouaninou,,
Woroba,Béré,Mankono,,
Woroba,Béré,Dianra,,
Woroba,Béré,Kounahiri,,
Woroba,Worodougou,Séguéla,,
Woroba,Worodougou,Kani,,
Zanzan,Bounkani,Bouna,,
Zanzan,Bounkani,Doropo,,
Zanzan,Bounkani,Nassian,,
Zanzan,Bounkani,Téhini,,
Zanzan,Gontougo,Bondoukou,,
Zanzan,Gontougo,Tanda,,
Zanzan,Gontougo,Koun-Fao,,
Zanzan,Gontougo,Transua,,
Zanzan,Gontougo,Sandégué,,
